cat_code,country,county,f_class,f_code,gid,lat,lon,name,state
US.AR.113,US,113,P,PPLA2,4121297,34.586220000000004,-94.23966,Mena,AR
US.AR.091,US,91,A,ADM2,4121680,33.31215,-93.89156,Miller County,AR
US.AR.093,US,93,A,ADM2,4121839,35.7639,-90.05417,Mississippi County,AR
US.AR.095,US,95,A,ADM2,4121968,34.67784,-91.20389,Monroe County,AR
US.AR.097,US,97,A,ADM2,4121992,34.538790000000006,-93.65953,Montgomery County,AR
US.AR.043,US,43,P,PPLA2,4122015,33.629,-91.79096,Monticello,AR
US.AR.029,US,29,P,PPLA2,4122218,35.15092,-92.74405,Morrilton,AR
US.AR.097,US,97,P,PPLA2,4122466,34.55676,-93.63408000000001,Mount Ida,AR
US.AR.137,US,137,P,PPLA2,4122986,35.86841,-92.11765,Mountain View,AR
US.AR.005,US,5,P,PPLA2,4123037,36.33534,-92.38516,Mountain Home,AR
US.AR.109,US,109,P,PPLA2,4123162,34.062329999999996,-93.6899,Murfreesboro,AR
US.AR.061,US,61,P,PPLA2,4123271,33.94567,-93.84713,Nashville,AR
US.AR.099,US,99,A,ADM2,4123415,33.66397,-93.30714,Nevada County,AR
US.AR.067,US,67,P,PPLA2,4123830,35.6048,-91.2818,Newport,AR
US.AR.101,US,101,A,ADM2,4123857,35.91997,-93.21786999999999,Newton County,AR
US.AR.103,US,103,A,ADM2,4125059,33.59336,-92.88193000000001,Ouachita County,AR
US.AR.055,US,55,P,PPLA2,4125388,36.0584,-90.49733,Paragould,AR
US.AR.105,US,105,A,ADM2,4125858,34.94737,-92.93146999999999,Perry County,AR
US.AR.105,US,105,P,PPLA2,4125875,35.00481,-92.80266999999999,Perryville,AR
US.AR.107,US,107,A,ADM2,4126012,34.428290000000004,-90.84801999999999,Phillips County,AR
US.AR.109,US,109,A,ADM2,4126123,34.1635,-93.65634,Pike County,AR
US.AR.069,US,69,P,PPLA2,4126226,34.228429999999996,-92.0032,Pine Bluff,AR
US.AR.121,US,121,P,PPLA2,4126923,36.26146,-90.97123,Pocahontas,AR
US.AR.111,US,111,A,ADM2,4126942,35.574040000000004,-90.66293,Poinsett County,AR
US.AR.113,US,113,A,ADM2,4127017,34.48584,-94.22807,Polk County,AR
US.AR.115,US,115,A,ADM2,4127100,35.44763,-93.03416,Pope County,AR
US.AR.117,US,117,A,ADM2,4127330,34.82979,-91.55277,Prairie County,AR
US.AR.099,US,99,P,PPLA2,4127433,33.802609999999994,-93.38101,Prescott,AR
US.AR.119,US,119,A,ADM2,4127619,34.76993,-92.3118,Pulaski County,AR
US.AR.121,US,121,A,ADM2,4127846,36.34148,-91.02772,Randolph County,AR
US.AR.025,US,25,P,PPLA2,4128469,33.95843,-92.19015,Rison,AR
US.AR.115,US,115,P,PPLA2,4129397,35.278420000000004,-93.13379,Russellville,AR
US.AR.123,US,123,A,ADM2,4129533,35.022,-90.74778,Saint Francis County,AR
US.AR.049,US,49,P,PPLA2,4129962,36.371179999999995,-91.82265,Salem,AR
US.AR.125,US,125,A,ADM2,4130035,34.64662,-92.67657,Saline County,AR
US.AR.127,US,127,A,ADM2,4130373,34.86077,-94.06325,Scott County,AR
US.AR.145,US,145,P,PPLA2,4130430,35.250640000000004,-91.73625,Searcy,AR
US.AR.129,US,129,A,ADM2,4130432,35.9109,-92.69949,Searcy County,AR
US.AR.131,US,131,A,ADM2,4130449,35.199259999999995,-94.27391,Sebastian County,AR
US.AR.133,US,133,A,ADM2,4130562,33.9972,-94.24122,Sevier County,AR
US.AR.135,US,135,A,ADM2,4130730,36.161159999999995,-91.47986,Sharp County,AR
US.AR.053,US,53,P,PPLA2,4130821,34.30704,-92.40127,Sheridan,AR
US.AR.079,US,79,P,PPLA2,4132227,33.94288,-91.84347,Star City,AR
US.AR.137,US,137,A,ADM2,4132456,35.85987,-92.15668000000001,Stone County,AR
US.AR.091,US,91,P,PPLA2,4133367,33.441790000000005,-94.03769,Texarkana,AR
US.AR.139,US,139,A,ADM2,4134330,33.17136,-92.59729,Union County,AR
US.AR.141,US,141,A,ADM2,4134690,35.58065,-92.5157,Van Buren County,AR
US.AR.033,US,33,P,PPLA2,4134716,35.43676,-94.34827,Van Buren,AR
US.AR.127,US,127,P,PPLA2,4135004,34.89843,-94.09076,Waldron,AR
US.AR.075,US,75,P,PPLA2,4135205,36.0684,-90.95595,Walnut Ridge,AR
US.AR.011,US,11,P,PPLA2,4135349,33.61261,-92.06458,Warren,AR
US.AR.143,US,143,A,ADM2,4135394,35.97907,-94.21558,Washington County,AR
US.AR.145,US,145,A,ADM2,4136143,35.25627,-91.74555,White County,AR
US.AR.147,US,147,A,ADM2,4137047,35.18633,-91.24306999999999,Woodruff County,AR
US.AR.037,US,37,P,PPLA2,4137215,35.22453,-90.78678000000001,Wynne,AR
US.AR.149,US,149,A,ADM2,4137268,35.0026,-93.41125,Yell County,AR
US.AR.089,US,89,P,PPLA2,4137291,36.22618,-92.68489,Yellville,AR
US.DC.001,US,1,A,ADM2,4140987,38.96678,-77.04137,Washington County,DC
US.DE.005,US,5,P,PPLA2,4142643,38.69011,-75.38547,Georgetown,DE
US.DE.001,US,1,A,ADM2,4143221,39.09595,-75.50461,Kent County,DE
US.DE.003,US,3,A,ADM2,4143835,39.57833,-75.63898,New Castle County,DE
US.DE.005,US,5,A,ADM2,4144895,38.6833,-75.33954,Sussex County,DE
US.DE.003,US,3,P,PPLA2,4145381,39.74595,-75.54659000000001,Wilmington,DE
US.FL.001,US,1,A,ADM2,4145709,29.67476,-82.3577,Alachua County,FL
US.FL.037,US,37,P,PPLA2,4146148,29.726,-84.9856,Apalachicola,FL
US.FL.027,US,27,P,PPLA2,4146206,27.21588,-81.85842,Arcadia,FL
US.FL.003,US,3,A,ADM2,4146548,30.33107,-82.28459000000001,Baker County,FL
US.FL.105,US,105,P,PPLA2,4146723,27.896409999999996,-81.84314,Bartow,FL
US.FL.005,US,5,A,ADM2,4146810,30.23765,-85.63261999999999,Bay County,FL
US.FL.013,US,13,P,PPLA2,4148237,30.443790000000003,-85.04744000000001,Blountstown,FL
US.FL.059,US,59,P,PPLA2,4148526,30.791859999999996,-85.67965,Bonifay,FL
US.FL.081,US,81,P,PPLA2,4148708,27.498929999999998,-82.57481999999999,Bradenton,FL
US.FL.007,US,7,A,ADM2,4148735,29.949959999999997,-82.16878,Bradford County,FL
US.FL.009,US,9,A,ADM2,4148826,28.300309999999996,-80.70121,Brevard County,FL
US.FL.077,US,77,P,PPLA2,4148912,30.432470000000002,-84.97702,Bristol,FL
US.FL.075,US,75,P,PPLA2,4148957,29.447740000000003,-82.64233,Bronson,FL
US.FL.053,US,53,P,PPLA2,4148986,28.55554,-82.38991,Brooksville,FL
US.FL.011,US,11,A,ADM2,4149007,26.15186,-80.45589,Broward County,FL
US.FL.035,US,35,P,PPLA2,4149363,29.46609,-81.25784,Bunnell,FL
US.FL.119,US,119,P,PPLA2,4149433,28.664990000000003,-82.11286,Bushnell,FL
US.FL.013,US,13,A,ADM2,4149608,30.406029999999998,-85.19721,Calhoun County,FL
US.FL.015,US,15,A,ADM2,4150627,26.89985,-81.95031,Charlotte County,FL
US.FL.133,US,133,P,PPLA2,4150769,30.781859999999998,-85.53854,Chipley,FL
US.FL.017,US,17,A,ADM2,4151140,28.84757,-82.52011,Citrus County,FL
US.FL.019,US,19,A,ADM2,4151245,29.98307,-81.85789,Clay County,FL
US.FL.103,US,103,P,PPLA2,4151316,27.96585,-82.8001,Clearwater,FL
US.FL.021,US,21,A,ADM2,4151550,26.099239999999998,-81.38096999999999,Collier County,FL
US.FL.023,US,23,A,ADM2,4151595,30.22424,-82.62154,Columbia County,FL
US.FL.129,US,129,P,PPLA2,4152267,30.176040000000004,-84.37518,Crawfordville,FL
US.FL.091,US,91,P,PPLA2,4152311,30.76213,-86.57051,Crestview,FL
US.FL.029,US,29,P,PPLA2,4152395,29.63465,-83.12694,Cross City,FL
