name,latitude,longitude,state,admin2_code,geonameid
Cumberland County,39.27332,-88.24023,IL,035,4236738
Douglas County,39.76946,-88.21735,IL,041,4237204
Edgar County,39.67853,-87.74557,IL,045,4237672
Edwards County,38.41653,-88.05327,IL,047,4237705
Effingham County,39.05977,-88.58986,IL,049,4237730
Fayette County,39.00019,-89.02414,IL,051,4238245
Franklin County,37.99229,-88.92415,IL,055,4238982
Gallatin County,37.76275,-88.2305,IL,059,4239230
Greene County,39.3562,-90.39049,IL,061,4239836
Hamilton County,38.08157,-88.53911,IL,065,4240145
Hardin County,37.5182,-88.26685,IL,069,4240212
Jackson County,37.78514,-89.38212,IL,077,4241687
Jasper County,39.01003,-88.15381,IL,079,4241756
Jefferson County,38.30052,-88.92401,IL,081,4241773
Jersey County,39.08566,-90.35668,IL,083,4241818
Johnson County,37.45963,-88.88089,IL,087,4241904
Lawrence County,38.71995,-87.72673,IL,101,4242758
Macon County,39.86,-88.9616,IL,115,4243719
Macoupin County,39.26102,-89.92443,IL,117,4243727
Madison County,38.82985,-89.90517,IL,119,4243743
Marion County,38.64959,-88.91897,IL,121,4243907
Massac County,37.21903,-88.70774,IL,127,4244065
Monroe County,38.27865,-90.17738,IL,133,4244752
Montgomery County,39.23104,-89.47887,IL,135,4244772
Morgan County,39.71556,-90.2015,IL,137,4244840
Moultrie County,39.64148,-88.6193,IL,139,4244913
Perry County,38.08376,-89.36702,IL,145,4246841
Pike County,39.6225,-90.88629,IL,149,4246953
Pope County,37.41276,-88.56158,IL,151,4247387
Pulaski County,37.22291,-89.12657,IL,153,4247655
Randolph County,38.05212,-89.82531,IL,157,4247802
Richland County,38.71236,-88.0851,IL,159,4248062
Saint Clair County,38.47031,-89.92841,IL,163,4248751
Saline County,37.75318,-88.5408,IL,165,4249341
Sangamon County,39.75817,-89.6589,IL,167,4249472
Scott County,39.64414,-90.4747,IL,171,4249615
Shelby County,39.39116,-88.80554,IL,173,4249847
Union County,37.47123,-89.25509,IL,181,4251707
Wabash County,38.44607,-87.84425,IL,185,4252248
Washington County,38.35217,-89.41045,IL,189,4252486
Wayne County,38.42956,-88.42561,IL,191,4252607
White County,38.08748,-88.17957,IL,193,4252955
Williamson County,37.73025,-88.92994,IL,199,4253173
Bartholomew County,39.20597,-85.8976,IN,005,4254165
Brown County,39.19621,-86.22737,IN,013,4255024
Clark County,38.47718,-85.70728,IN,019,4255818
Clay County,39.39273,-87.11576,IN,021,4255843
Crawford County,38.29241,-86.45171,IN,025,4256259
Daviess County,38.70241,-87.07207,IN,027,4256468
Decatur County,39.307,-85.50114,IN,031,4256516
Dearborn County,39.14519,-84.97326,IN,029,4256524
Dubois County,38.36428,-86.8798,IN,037,4256808
Fayette County,39.64006,-85.17873,IN,041,4257390
Floyd County,38.31891,-85.90687,IN,043,4257565
Franklin County,39.41486,-85.06028,IN,047,4257700
